Date Start,Date Stop,Ad id,Amount Spend,Campaign Name,Ad Set Name,Ad Name,Clicks,CPM,CTR,Impressions,Reach,Country
2023-03-05,2023-04-14,64,110.4,Spring Collection,Instagram Promotions,US market,77,11.12791049,0.007761314384,9921,895,AU
2023-01-02,2023-01-20,2,120.12,Spring Collection,Facebook Ads,High CPC High LTV,26,21.62765574,0.004681310767,5554,889,BR
2023-05-19,2023-07-05,139,128.77,Tech Expo,Google Display Network,Budget 2x,81,14.20048522,0.008932509925,9068,909,US
2023-03-01,2023-05-13,60,129.99,Summer Sale,Instagram Promotions,AU + NZ,16,14.85090826,0.001827944705,8753,895,AU
2023-04-20,2023-07-03,110,134.92,Spring Collection,Instagram Promotions,Landing traffic,33,22.68706911,0.005549016311,5947,857,RO
2023-04-15,2023-06-30,105,135.38,Tech Expo,Google Display Network,Mobile app downloads,43,59.87616099,0.01901813357,2261,867,RO
2023-03-12,2023-05-07,71,136.39,Tech Expo,Facebook Ads,A/B test 3,16,19.62163717,0.002301827075,6951,867,ZA
2023-02-19,2023-03-18,50,137.2,Summer Sale,Instagram Promotions,High CPC High LTV,79,32.55041518,0.018742586,4215,926,ID
2023-01-30,2023-03-02,30,144.05,Outdoor Adventure,Instagram Promotions,High CPC High LTV,14,57.27634195,0.005566600398,2515,822,ID
2023-05-13,2023-07-19,133,145.22,Spring Collection,Instagram Promotions,High CPC High LTV,18,63.9453985,0.007926023778,2271,901,RO
2023-04-23,2023-05-24,113,152.16,Outdoor Adventure,Instagram Promotions,High CPC High LTV,28,46.81846154,0.008615384615,3250,861,RO
2023-02-25,2023-03-15,56,156.29,Summer Sale,Instagram Promotions,High CPC High LTV,61,20.69792081,0.008078400212,7551,885,AU
2023-02-04,2023-04-20,35,162.71,Outdoor Adventure,Google Display Network,Budget 2x,74,43.49371826,0.01978080727,3741,892,ID
2023-03-06,2023-04-22,65,178.47,Summer Sale,Facebook Ads,Budget 2x,59,103.0427252,0.03406466513,1732,921,AU
2023-03-04,2023-05-27,63,178.55,Spring Collection,Google Display Network,Budget 2x,28,84.22169811,0.01320754717,2120,841,AU
2023-01-10,2023-03-28,10,179.07,Summer Sale,Instagram Promotions,Budget 2x,52,21.59811844,0.006271861054,8291,931,BR
2023-05-22,2023-07-27,142,184.79,Summer Sale,Google Display Network,Budget 2x,76,34.45003729,0.01416853095,5364,916,US
2023-04-06,2023-05-16,96,186.08,Tech Expo,Instagram Promotions,Budget 2x,36,21.54950782,0.004169079328,8635,929,AR
2023-01-22,2023-04-06,22,194.04,Tech Expo,Google Display Network,Budget 2x,58,87.36605133,0.0261143629,2221,835,ID
2023-05-14,2023-07-19,134,200.45,Spring Collection,Google Display Network,Budget 2x,67,29.24996352,0.009776740114,6853,812,RO
2023-01-23,2023-02-11,23,201.82,Spring Collection,Google Display Network,Budget 2x,40,31.7177432,0.00628634292,6363,919,ID
2023-04-02,2023-06-17,92,203.83,Summer Sale,Facebook Ads,AU + NZ,57,32.41571247,0.009064885496,6288,942,AR
2023-01-18,2023-03-18,18,205.32,Summer Sale,Google Display Network,AU + NZ,90,32.80920422,0.01438159156,6258,882,ID
2023-01-16,2023-04-01,16,210.3,Summer Sale,Facebook Ads,AU + NZ,98,152.5018129,0.07106598985,1379,889,BR
2023-06-19,2023-08-30,170,226.26,Outdoor Adventure,Google Display Network,AU + NZ,93,35.60346184,0.01463414634,6355,841,MX
2023-06-02,2023-06-28,153,226.28,Summer Sale,Google Display Network,AU + NZ,39,56.82571572,0.00979407333,3982,932,US
2023-02-24,2023-05-03,55,237.27,Summer Sale,Facebook Ads,AU + NZ,19,82.35682055,0.006594932315,2881,889,AU
2023-05-06,2023-06-09,126,241.17,Outdoor Adventure,Google Display Network,AU + NZ,46,158.455979,0.03022339028,1522,857,RO
2023-05-03,2023-06-11,123,245.4,Spring Collection,Google Display Network,AU + NZ,51,45.00275078,0.009352649917,5453,903,RO
2023-06-06,2023-07-28,157,251.13,Outdoor Adventure,Instagram Promotions,AU + NZ,54,25.54730417,0.005493387589,9830,896,US
2023-03-24,2023-05-02,83,256.91,Outdoor Adventure,Instagram Promotions,AU + NZ,25,41.17147436,0.004006410256,6240,883,AR
2023-04-18,2023-05-17,108,263.61,Outdoor Adventure,Google Display Network,AU + NZ,54,36.36,0.007448275862,7250,850,RO
2023-04-05,2023-05-31,95,264.86,Outdoor Adventure,Instagram Promotions,AU + NZ,71,80.11494253,0.02147610405,3306,858,AR
